0 3
10 8
20 11
30 15
40 19
50 24
60 28
70 34
80 42
90 42
100 46
110 51
120 56
130 61
140 65
150 69
160 74
170 79
180 87
190 89
200 93
210 99
220 102
230 108
240 112
250 116
260 121
270 127
280 131
290 137
300 141
310 147
320 150
330 158
340 160
350 164
360 169
370 177
380 178
390 183
400 190
410 195
420 198
430 203
440 209
450 213
460 218
470 223
480 227
490 232
500 239
510 242
520 247
530 254
540 257
550 265
560 267
570 272
580 277
590 284
600 286
610 293
620 296
630 302
640 306
650 312
660 316
670 321
680 329
690 330
700 338
710 341
720 345
730 353
740 355
750 361
760 364
770 373
780 374
790 380
800 386
810 389
820 394
830 407
840 406
850 409
860 420
870 421
880 423
890 431
900 435
910 442
920 445
930 450
940 459
950 461
960 469
970 470
980 478
990 482
